Sainsbury's Oranges Each	1.05	3
Sainsbury's Handwash, Honey & Willowbark 250ml	0.9	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Arla Skyr Icelandic Style Yogurt 1kg	3.3	1
Sainsbury's Ultra Balm 3 Ply Tissues Twin Pack x80 Sheets	2.5	1
Sainsbury's Battered Onion Rings 800g	1.65	1
Sainsbury's 24cm Stainless Steel Triply Frying Pan	40	1
Sainsbury's Hoisin Stir Fry Sauce 175ml	2	2
Sainsbury's Whole Cucumber	0.5	1
Sainsbury's Spring Onions Bunch 100g	0.55	1
Gressingham Whole Duck 1.2kg (Serves 3-4)	6.5	1
Sainsbury's Fresh Packed Lemongrass Sticks x2	0.7	1
Sainsbury's Root Ginger Loose	0.39	1
Sainsbury's Fresh Packed Bunch Coriander 31g	0.7	1
Sainsbury's Maris Piper Potatoes 2.5kg	2	1
Sainsbury's Chutney Tomato & Chilli, Taste the Difference 300g	1.8	1
Sainsbury's Quick Cook Lamb Chops 275g	3.75	1
Twinings Lady Grey x50 Tea Bags 125g	3	1
