Sainsbury's Mixed Pepper Stir Fry 300g	1.25	1
Sainsbury's Responsibly Sourced Scottish Salmon Fillet 260g	4.25	1
Sainsbury's Dwarf Beans 300g	1.35	1
Sainsbury's Salted Peanuts, Basics 200g	0.7	1
Sainsbury's Greek Style Low Fat Natural Yogurt 500g	1	1
Sainsbury's Greek Style Natural Yogurt 500g	1	1
Eat Natural Crunchy Toasted Muesli, Nuts & Seeds 500g	6	2
Sainsbury's Frozen All Butter Croissants x6 300g	2	1
Spontex Brilliant Scourer	1.1	1
Cillit Bang Power Cleaner Black Mould Remover 750ml	3.5	1
Sainsbury's Coconut Milk Light 400g	1.45	1
Sainsbury's Sweet Potato 1.2kg	1.25	1
Sainsbury's Chickpeas in Water 400g (240g*)	0.55	1
Sainsbury's Lemons Each	0.35	1
Sainsbury's British Mini Chicken Fillets 400g	2.6	1
Oxo Stock Cubes, Chicken x12 71g	1.3	1
Heinz Tomato Ketchup Top Down 700g	2.4	1
Sainsbury's Stainless Steel Scourers x3	1.2	1
Sainsbury's Washing Powder, Colour 2.6kg (40 Washes)	4.5	1
Sainsbury's Baby Leaf Spinach 100g	0.9	1
Sainsbury's All Purpose Cloths x10	2	1
