Sainsbury's Romaine Lettuce Hearts, Twin Pack x2 340g	1	1
Sainsbury's Red Chillies 60g	0.6	1
Sainsbury's Butternut Squash Loose	2.78	2
Sainsbury's Courgettes Loose	0.2	1
Sainsbury's Onions 1kg	0.75	1
Sainsbury's Pistachio Nuts 100g	1.7	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Sainsbury's Spring Onions Bunch 100g	0.5	1
Sainsbury's Cashew Kernels 200g	2.5	1
Sainsbury's British Chicken Breast Fillet Portions 460g	3.05	1
Sainsbury's Garlic Baguette 210g	0.8	1
Sainsbury's Italian Vermicelli 500g	0.85	1
Sainsbury's Chickpeas in Water 400g (240g*)	0.55	1
Sainsbury's Low Fat Natural Yogurt 1kg	1.7	1
Sainsbury's Fairtrade Bananas x8	2.5	2
Sainsbury's Natural Yogurt 500g	1.8	2
Sainsbury's Peri Peri Sauce 155g	1	1
Anchor Butter 250g	1.3	1
Sainsbury's Whole Almonds 300g	6.2	2
Loyd Grossman Tomato & Basil Pasta Sauce 660g	2.7	1
Sainsbury's Scottish Porridge Oats 1.5kg	1.6	1
Sainsbury's Turkey Breast Mince 2% Fat 500g	3.5	1
Meridian Smooth Peanut Butter 280g	2	1
