Sainsbury's 24cm Stainless Steel Triply Frying Pan	40	1
Sainsbury's Coconut Milk 400ml	1	1
Sainsbury's Limes x5	1.5	1
Sainsbury's Butternut Squash Loose	1.39	1
Sainsbury's Large Onions x3	0.8	1
Sainsbury's Mixed Peppers (Colours may vary) x3	1	1
Sainsbury's Spring Onions Bunch 100g	0.55	1
Sainsbury's Red Chillies 60g	0.6	1
Sainsbury's Cod Loins, Taste the Difference 266g	4	1
Sainsbury's Cauliflower Each	1	1
Sainsbury's British Half Fat Crème Fraîche 300ml	1.1	1
Oxo Vegetable Stock Cubes x12 71g	1.3	1
Sainsbury's Chickpeas in Water 400g (240g*)	0.55	1
Sainsbury's Sweet Potato 1.2kg	1.25	1
Sainsbury's Spanish Chorizo Ring 225g	2.5	1
Sainsbury's Chopped Tomatoes Carton 4x 390g	1.5	1
Sainsbury's Dwarf Beans 300g	1.35	1
Anchor Spreadable 500g	3	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Sainsbury's Ready Oats 500g	1.5	1
Pilgrims Choice Extra Mature Cheddar Cheese 350g	2	1
KTC Chick Peas 400g	0.35	1
Heinz Barbecue Classic Sauce 480g	1.5	1
Sainsbury's Sweet Potatoes Loose	0.23	1
Sainsbury's Kalamata Olive Bread Taste the Difference 400g	1.5	1
Skips Prawn Cocktail 6x13.1g	1	1
Heinz Baked Beans 415g	0.75	1
Sainsbury's Cape Hake Fillets 220g	3.75	1
Vicks Vaporub 100g	4	1
