Sainsbury's Indian Vegetable Samosas x4 200g	3	2
Sainsbury's Indian Plain Naan x2 260g	0.95	1
Sainsbury's Chickpeas in Water 400g (240g*)	0.55	1
Sainsbury's Whole Chicken Breast Fillets 640g	4.2	1
Sainsbury's Broccoli 335g	0.5	1
Sainsbury's Easy Cook Long Grain White Rice 1kg	1.1	1
Sainsbury's Tomato & Mascarpone Sauce 350g	1.4	1
Sainsbury's Red Onions Loose	0.22	1
Sainsbury's Peshwari Naan x2 260g	0.85	1
Sainsbury's Guacamole 170g	1.5	1
Sainsbury's Fishcakes Melting Middle Cod & Parsley Sauce Fishcakes Taste the Difference x2 290g	2.25	1
Sainsbury's Breaded Chicken Kiev Garlic x2 260g	2.15	1
Sainsbury's Dark Soy Sauce 150ml	1	1
Sainsbury's Responsibly Sourced Scottish Salmon Fillet 260g	4.25	1
Sainsbury's Dwarf Beans 300g	2.7	2
Sainsbury's Ground Cumin 43g	1	1
Sainsbury's Indian Onion Bhaji x8 256g	3.4	2
Sainsbury's Mixed Pepper Stir Fry 300g	1.25	1
Sainsbury's Plain Tortilla Wraps x8	0.9	1
Sainsbury's Soured Cream 300ml	1.1	1
Sainsbury's Cauliflower Each	1	1
Sainsbury's Mixed Peppers (Colours may vary) x3	1	1
Sainsbury's Baby Leaf Spinach 200g	1.5	1
Patak's Rogan Josh Paste 283g	2.05	1
Sainsbury's Greek Style Low Fat Natural Yogurt 500g	1	1
Sainsbury's Paprika 44g	1	1
