Loyd Grossman Pasta Sauce, Tomato & Chilli 350g	1	1
Sainsbury's Royal Gala Apples x6	1.5	1
Heinz Tomato Ketchup Top Down 700g	2	1
Sainsbury's English Butter, Unsalted 250g	1.6	1
Sainsbury's Coconut Milk Light 400g	1.45	1
Sainsbury's Baby Courgettes 200g	1.75	1
Sainsbury's Garlic x4	0.9	1
Sainsbury's Fairtrade Light Brown Soft Sugar 1kg	2.4	1
Sainsbury's Walnuts, Pieces 200g	2.4	1
Sainsbury's Free Range Large Eggs x6	1.3	1
Sainsbury's Icing Sugar 1kg	1.7	1
Philadelphia Cheese 280g	2	1
Dettol Antibacterial Surface Cleaner Spray 750ml	2.5	1
Sainsbury's Salted Peanuts, Basics 200g	0.7	1
Rowse Original Squeezy Honey 680g	4.5	1
Sainsbury's Breaded Chicken Fillets x2 350g	3.75	1
Ready Brek Smooth Porridge Oats Original 450g	2	1
Sainsbury's Soft Grip Can Opener	4.5	1
Sainsbury's Fishcakes Melting Middle Cod & Parsley Sauce Fishcakes Taste the Difference x2 290g	2	1
Sainsbury's Sweet Potato 1.2kg	1.25	1
Sainsbury's Baby Leaf Spinach 200g	1.5	1
Cif Power & Shine Bathroom Spray 700ml	2	1
Sainsbury's Trimmed Mange Tout 200g	1.25	1
Sainsbury's Responsibly Sourced Scottish Salmon Fillet 260g	4.25	1
Sainsbury's Mixed Pepper Stir Fry 300g	1.25	1
