Sainsbury's Wholegrain Malties Cereal 750g	1.8	1
Sainsbury's Pomegranate Fridge Bag 350g	4	1
Eat Natural Crunchy Toasted Muesli, Nuts & Seeds 500g	3	1
Sainsbury's Lemon Juice 250ml	0.6	1
Sainsbury's Parmigiano Reggiano Cheese 200g	2.7	1
Sainsbury's Wholegrain Raisin Wheats Cereal 500g	1.95	1
Sainsbury's British Medium Cheddar Cheese 400g	2.2	1
Sainsbury's Thai Green Curry Paste 180g	1.4	1
Sainsbury's Limes Each	0.35	1
Sainsbury's Sweet Potato 1.2kg	1.25	1
Sainsbury's British Chicken Breast Fillet Portions 650g	4.25	1
Sainsbury's Chickpeas in Water 400g (240g*)	0.55	1
Sainsbury's Lemons Each	0.35	1
Sainsbury's Dwarf Beans 300g	1.35	1
Sainsbury's Baby Potatoes 1kg	1	1
Sainsbury's Oranges Each	0.35	1
Sainsbury's Skinless & Boneless Smoked Haddock Fillets 240g	4	1
Sainsbury's Wholegrain Mustard 205g	0.8	1
Sainsbury's Sandwich Bags Easy Seal 19,5x19cm x60	2	1
Sainsbury's Butcher's Choice Cumberland Pork Sausages x8 454g	1.5	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Sainsbury's Fabric Conditioner, Gentle 1.26L (42 Washes)	1.5	1
Sainsbury's Crunchy Peanut Butter, Basics 340g	0.9	1
Sainsbury's Butcher's Choice Burgers x8 908g	4.5	1
Sainsbury's Granola, Raisin, Nut & Honey 1kg	2	1
Stella Artois Lager 15x284ml	11	1
Andrex Toilet Tissue Classic Clean, White x16 Rolls	6.5	1
Sainsbury's Low Fat Natural Yogurt 1kg	1.7	1
Sainsbury's Lime Juice 250ml	0.85	1
Sainsbury's Washing Up Liquid, Lemon 450ml	0.6	1
Heinz Baked Beans 4x415g	2	1
KTC Creamed Coconut 200g	0.8	1
Sainsbury's British Chicken Thigh Fillets (4-5 pieces) 460g	5.3	2
Linda McCartney Quarter Pounder Burger x2 227g	2	1
Warburtons Burger Buns x6	2.3	2
Sainsbury's Home Bamboo Skewers x70	1.25	1
Sainsbury's Fairtrade Bananas x8	2.5	2
Sainsbury's Natural Yogurt 500g	1.8	2
Bacardi Carta Blanca Rum 1L	17.5	1
