Sainsbury's Dwarf Beans 300g	1.35	1
Sainsbury's Fairtrade Bananas x5	0.85	1
Sainsbury's Wholemeal Pitta x6	0.5	1
Sainsbury's British Chicken Breast Fillet Portions 650g	4.25	1
Sainsbury's Medium Egg Noodles 375g	1.35	1
Sainsbury's Fresh Packed Bunch Coriander 31g	0.7	1
Sainsbury's Red Onions Loose	0.18	1
Sainsbury's Sesame Oil, Toasted 250ml	1.8	1
Sainsbury's Greek Style Low Fat Natural Yogurt 500g	1	1
Sainsbury's Greek Style Natural Yogurt 500g	2	2
Rowse Original Squeezy Honey 680g	4.5	1
Sainsbury's Red Chillies 60g	1.2	2
Sainsbury's Limes Each	0.7	2
Sainsbury's British Semi Skimmed Milk 1.13L (2 pint)	0.75	1
Sainsbury's Cashew Kernels 200g	2.5	1
Sainsbury's Sweet Gem Lettuce x2	1	1
Sainsbury's Sultanas 500g	1.5	1
Nivea Men Cool Kick 48 Hours Anti-Perspirant Deodorant Roll On 50ml	1.8	1
Sainsbury's British Medium Cheddar Cheese 400g	2.2	1
Sainsbury's Coconut Milk 400ml	1	1
Sainsbury's Olive Oil, Extra Virgin 1L	3.95	1
Sainsbury's Dark Soy Sauce 150ml	1	1
Sainsbury's Roasted Red Pepper Houmous 200g	1.5	1
Clarks Original Maple Syrup with Carob Syrup 180ml	2	1
E45 Moisturising Lotion 500ml	4.5	1
