Sainsbury's Spanish Chorizo Ring 225g	2	1
Old El Paso Roasted Tomato & Pepper Fajita Kit 500g	3.3	1
Sainsbury's Free Range Large Eggs x6	1.3	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Sainsbury's Pork Sausages, Taste the Difference x6 400g	2.5	1
Sainsbury's Whole Cucumber	0.5	1
Sainsbury's Courgettes Loose	0.41	2
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g	1.25	1
Sainsbury's Carrots Loose	0.21	2
Loyd Grossman Tomato & Basil Pasta Sauce 660g	2	1
Andrex Toilet Tissue Classic Clean White x9 Rolls	4	1
Sainsbury's Kitchen Foil 300mm x10m	1.75	1
Sainsbury's Ready Oats 500g	1.5	1
KTC Chick Peas 400g	0.35	1
Sainsbury's Celery 450g	0.55	1
Sainsbury's Thick Bleach 750ml	0.5	1
Cathedral City Mature Cheddar Cheese 350g	2.5	1
Sainsbury's Whole Chicken Breast Fillets 320g	2.4	1
Sainsbury's Home can opener	0.5	1
Sainsbury's Cling Film 350mm x40m	2	1
Spontex Multipurpose Disposable Gloves x100	6	1
Sainsbury's Turkey Breast Mince 2% Fat 500g	4	1
